OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;TaxParcelIdentificationNumber;Location;CouncilDistrictCode;Neighborhood;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;YearsENERGYSTARCertified;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);OtherFuelUse(kBtu);GHGEmissions(MetricTonsCO2e);GHGEmissionsIntensity(kgCO2e/ft2);DefaultData;Comment;ComplianceStatus;Outlier;2010 Census Tracts;Seattle Police Department Micro Community Policing Plan Areas;City Council Districts;SPD Beats;Zip Codes;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;Address;City;State;ZipCode;Latitude;Longitude;Comments;TotalGHGEmissions;GHGEmissionsIntensity;File Paths
27;2015;NonResidential;Other;KING COUNTY CORRECTIONAL FACILITY;942001010;"""{'latitude': '47.60355377'";'longitude': '-122.32830048';"'human_address': '{""""address"""": """"500 5TH AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98104""""}'}""";3;DOWNTOWN;1985;1;19;385274;0;385274;Other;Other;385274;;;;;;;132.10;136,1;245,5;243,9;50899248;52435544;0;5766838;19677268;312228;31222797;0;1795.42;4,44;No;;Compliant;;;14;;19;18379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
28;2015;SPS-District K-12;K-12 School;GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT);1102000138;"""{'latitude': '47.54570136'";'longitude': '-122.2685843';"'human_address': '{""""address"""": """"5101 S GRAHAM ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98118""""}'}""";2;SOUTHEAST;1961;1;2;56228;0;56228;K-12 School;K-12 School;58320;;;;;;96;25.10;29,6;59,2;63,9;1454222;1716043;0;267181;911659;5426;542600;0;35.17;0,56;Yes;;Compliant;;;30;;43;18800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
29;2015;NonResidential;Hotel;WATERTOWN HOTEL;1142000755;"""{'latitude': '47.65953281'";'longitude': '-122.3173925';"'human_address': '{""""address"""": """"4242 ROOSEVELT WAY NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98105""""}'}""";4;NORTHEAST;2001;1;6;88592;30586;58006;"""Hotel";"Parking""";Hotel;58006;Parking;30586;;;;85;66,9;66,3;151,5;149,7;3880806;3848493;0;660802;2254751;16261;1626149;0;102,08;1.04;No;;Compliant;;;60;;38;18383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
30;2015;NonResidential;College/University;Cornish (Main Campus Center);660001420;"""{'latitude': '47.61839333'";'longitude': '-122.3369292';"'human_address': '{""""address"""": """"1000 LENORA ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1928;1;7;126593;0;126593;College/University;College/University;125000;;;;;;;78.30;90,9;158,9;172,1;9791557;11360926;0;1343046;4582663;52091;5209084;0;308.6;2,28;No;;Compliant;;;56;;7;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
31;2015;NonResidential;Other;SEATTLE HONDA;660001725;"""{'latitude': '47.61490582'";'longitude': '-122.33040102';"'human_address': '{""""address"""": """"1017 OLIVE WAY""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98101""""}'}""";7;DOWNTOWN;1930;1;2;67224;0;67224;Automobile Dealership;Automobile Dealership;67224;;;;;;;20.70;20,7;64,9;64,9;1388717;1388717;0;407010;1388775;0;0;0;9.68;0,06;No;;Compliant;;;14;;31;18081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
32;2015;NonResidential;Hotel;HOMEWOOD SUITES -SEATTLE - Hilton;660001832;"""{'latitude': '47.61300278'";'longitude': '-122.32923126';"'human_address': '{""""address"""": """"1011 PIKE ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98101""""}'}""";7;EAST;1991;1;8;158676;30301;128375;"""Hotel";Parking;Retail Store;"Swimming Pool""";Hotel;112676;Parking;42000;Retail Store;4500;;;44;46,3;55,7;58,1;5159342;5421759;0;156133;532747;46266;4626617;0;249.43;1.56;No;;Compliant;;;19;;12;18081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
33;2015;NonResidential;Hotel;SPRINGHILL SUITES SEATTLE DOWNTOWN;660002680;"""{'latitude': '47.61806905'";'longitude': '-122.33005445';"'human_address': '{""""address"""": """"1800 YALE AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98101""""}'}""";7;DOWNTOWN;2001;1;10;171866;38281;133585;Hotel;Hotel;128909;;;;;;20;85.50;86,7;183,3;180,9;11026945;11178456;0;1689143;5763595;52636;5263590;0;319.73;1,72;Yes;;Compliant;;;56;;10;18081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
34;2015;SPS-District K-12;K-12 School;MEANY MIDDLE SCHOOL (SPS-DISTRICT);688000090;"""{'latitude': '47.62309371'";'longitude': '-122.3053887';"'human_address': '{""""address"""": """"300 20TH AVE E""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98112""""}'}""";3;CENTRAL;1955;1;1;126351;0;126351;K-12 School;K-12 School;126351;;;;;;57;49.70;64,4;84,2;102,4;6283226;8131874;0;566538;1933106;43502;4350200;0;244.51;1,87;No;;Compliant;;;35;;6;18789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
35;2015;NonResidential;Hotel;Hotel Five;697000170;"""{'latitude': '47.61587049'";'longitude': '-122.34197968';"'human_address': '{""""address"""": """"2200 5TH AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1978;1;5;68410;16200;52210;Hotel;Hotel;47994;;;;;;60;90.50;90,5;194,1;194,1;4341706;4341706;0;667101;2276244;20656;2065556;0;125.57;1,69;No;;Compliant;;;56;;7;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
36;2015;SPS-District K-12;K-12 School;JANE ADAMS JUNIOR HIGH (SPS-DISTRICT);752000170;"""{'latitude': '47.71011498'";'longitude': '-122.29379175';"'human_address': '{""""address"""": """"11031 34TH AVE NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTH;1949;1;2;160645;0;160645;K-12 School;K-12 School;164229;;;;;;80;38.90;50,9;62,6;77,2;6387710;8362498;0;501058;1709681;46781;4678100;0;260.37;1,58;Yes;;Compliant;;;29;;29;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
37;2015;SPS-District K-12;K-12 School;JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT);809000005;"""{'latitude': '47.63303191'";'longitude': '-122.35245717';"'human_address': '{""""address"""": """"201 GARFIELD ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;MAGNOLIA / QUEEN ANNE;1989;1;2;51582;0;51582;K-12 School;K-12 School;55166;;;;;;94;26.70;30,5;83,8;95,8;1472548;1682521;0;431579;1472609;0;0;0;10.27;0,08;Yes;;Compliant;;;50;;39;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
38;2015;NonResidential;Small- and Mid-Sized Office;HOUSE OF GOOD SHEPHERD;825049008;"""{'latitude': '47.66391557'";'longitude': '-122.33172174';"'human_address': '{""""address"""": """"4649 SUNNYSIDE AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98103""""}'}""";4;LAKE UNION;1906;1;3;87262;0;87262;"""K-12 School";Multifamily Housing;Office;"Other - Entertainment/Public Assembly""";Office;40943;K-12 School;18153;Other - Entertainment/Public Assembly;4307;;;59,2;66,3;104,1;112,3;3988729;4470231;0;396679;1353524;26353;2635261;0;149.39;1.65;No;;Compliant;;;61;;3;18377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
40;2015;NonResidential;Hotel;SILVER CLOUD INN UNIVERSITY;925049117;"""{'latitude': '47.66585193'";'longitude': '-122.29889419';"'human_address': '{""""address"""": """"5036 25TH AVE NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98105""""}'}""";4;NORTHEAST;1994;1;4;81871;0;81871;Hotel;Hotel;81871;;;;;;20;90.60;93,8;178,5;181,8;7419765;7677473;0;957249;3266270;41536;4153630;0;243.37;2,8;No;;Compliant;;;53;;48;18383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
41;2015;NonResidential;"""Self-Storage Facility";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
;;925049330;"""{'latitude': '47.66270326'";'longitude': '-122.29612323';;"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98105""""}'}""";4;NORTHEAST;1955;1;2;126394;0;126394;;Self-Storage Facility;26225;;;;;;77;11.70;12.20;34.00;34.50;306721;319916;0;79930;272732;340;34000;0;3.71;0,02;No;;;;;53;;48;18383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
46;2015;NonResidential;Distribution Center;SEATTLE WAREHOUSE OFFICE BUILDING;323049024;"""{'latitude': '47.5106034'";'longitude': '-122.29027588';"'human_address': '{""""address"""": """"3301 S NORFOLK ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98118""""}'}""";2;GREATER DUWAMISH;1961;7;2;714095;0;714095;;;;;;;;;1;66.90;64,7;210;203,3;47843892;46313516;0;14022240;47845869;0;0;0;333.54;0,18;No;;Compliant;;;58;;37;18800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
50;2015;SPS-District K-12;K-12 School;LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT);369000400;"""{'latitude': '47.65726207'";'longitude': '-122.39065097';"'human_address': '{""""address"""": """"4017 26TH AVE W""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98199""""}'}""";7;MAGNOLIA / QUEEN ANNE;1990;1;2;54986;0;54986;K-12 School;K-12 School;54986;;;;;2016;91;30.10;33,5;80,3;91;1655612;1842702;0;375707;1281965;3737;373700;0;28.78;0,42;No;;Compliant;;;33;;27;18235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
51;2015;SPS-District K-12;K-12 School;ECKSTEIN MIDDLE (SPS-DISTRICT);425049022;"""{'latitude': '47.68245037'";'longitude': '-122.2939354';"'human_address': '{""""address"""": """"3003 NE 75TH ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98115""""}'}""";4;NORTHEAST;1950;1;2;175565;0;175565;K-12 School;K-12 School;182861;;;;;;88;34.10;45,5;53,6;67,3;6227419;8317888;0;457772;1561983;46655;4665500;0;258.67;1,44;Yes;;Compliant;;;53;;48;18792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
52;2015;NonResidential;Small- and Mid-Sized Office;SALMON BAY CENTER 5305 & 5309;467000429;"""{'latitude': '47.66580963'";'longitude': '-122.3860321';"'human_address': '{""""address"""": """"5305 SHILSHOLE AVE NW""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98107""""}'}""";6;BALLARD;1961;1;2;94900;0;94900;"""Non-Refrigerated Warehouse";"Office""";Office;55586;Non-Refrigerated Warehouse;39314;;;;57;63,7;69,6;161,3;165,9;6043853;6605535;0;1257186;4289697;17543;1754334;0;123,08;1.10;No;;Compliant;;;4;;1;18386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
